"y","x","date","subcat","cat"
30.006133,31.157406,"2011-03-24 13:45:00",109,108
27.64139,30.84944,"2011-03-24 13:59:00",109,108
31.19806,29.91917,"2011-03-25 22:45:00",109,108
30.67,31.58722,"2011-03-25 22:53:00",37,32
31.200818,29.901572,"2011-03-25 23:27:00",109,108
29.996824,31.231785,"2011-03-26 13:44:00",104,101
31.202225,29.983296,"2011-03-27 22:10:00",104,101
30.035531,31.214705,"2011-03-29 01:58:00",114,113
30.67,31.58722,"2011-03-30 01:15:00",104,101
30.732662,31.719546,"2011-03-30 01:22:00",114,113
30.549431,31.78344,"2011-03-30 01:09:00",104,101
27.874975,34.289266,"2011-03-30 01:21:00",104,101
29.05044,33.104599,"2011-03-30 01:22:00",22,101
29.81667,31.05,"2011-03-29 09:40:00",104,101
30.59139,31.51028,"2011-03-31 00:03:00",117,113
30.122689,31.300374,"2011-03-31 10:40:00",109,108
30.095644,31.242181,"2011-04-02 13:29:00",104,101
31.2135,29.9443,"2011-04-03 10:24:00",39,32
30.038822,31.376041,"2011-04-03 12:53:00",22,101
31.19806,29.91917,"2011-04-03 13:00:00",38,32
30.527717,31.709887,"2011-04-04 13:56:00",109,108
30.001795,31.194523,"2011-04-04 13:42:00",117,113
31.180916,31.86373,"2011-04-05 00:52:00",104,101
31.17223,31.796748,"2011-04-05 01:06:00",43,32
29.991104,31.130871,"2011-04-06 12:37:00",22,101
31.19806,29.91917,"2011-04-06 17:31:00",43,32
31.286341,30.018734,"2011-04-06 13:38:00",43,32
30.46667,30.93333,"2011-04-06 13:43:00",37,32
31.03333,30.46667,"2011-04-10 13:58:00",109,108
31.263588,29.990683,"2011-04-12 01:59:00",104,101
30.080457,31.248297,"2011-04-12 01:50:00",109,108
31.221142,29.941722,"2011-04-15 13:38:00",38,32
30.46667,30.93333,"2011-04-16 22:20:00",104,101
30.46667,30.93333,"2011-04-16 22:29:00",37,32
30.07725,31.278202,"2011-04-17 00:57:00",104,101
30.074737,31.275483,"2011-04-17 13:09:00",104,101
30.077337,31.252932,"2011-04-17 23:57:00",26,111
30.618629,32.314215,"2011-04-18 13:16:00",39,32
30.74332,31.140882,"2011-04-19 01:41:00",109,108
30.753573,31.102294,"2011-04-19 01:54:00",109,108
31.176647,29.876705,"2011-04-19 10:31:00",43,32
29.85,31.33333,"2011-04-19 13:37:00",43,32
30.086398,31.248297,"2011-04-19 22:04:00",114,113
30.025769,31.342571,"2011-04-20 13:09:00",31,118
31.41944,31.815,"2011-04-20 13:04:00",114,113
30.078062,31.197381,"2011-04-20 13:08:00",31,118
30.069585,31.336016,"2011-04-20 22:30:00",109,108
31.232887,29.971709,"2011-04-22 13:15:00",117,113
31.19806,29.91917,"2011-04-23 12:13:00",109,108
30.125328,31.330893,"2011-04-24 13:12:00",109,108
31.292354,30.488044,"2011-04-26 01:44:00",117,113
30.073149,31.347182,"2011-04-26 10:29:00",104,101
30.073326,31.238684,"2011-04-27 00:32:00",43,32
30.021327,30.982317,"2011-04-27 01:08:00",43,32
31.19806,29.91917,"2011-04-28 13:21:00",104,101
30.120017,31.337936,"2011-04-29 01:01:00",38,32
31.167295,31.807484,"2011-05-01 01:36:00",22,101
29.85,31.333333,"2011-05-02 00:29:00",26,111
30.048023,31.377622,"2011-05-02 13:01:00",43,32
29.85,31.33333,"2011-05-02 13:56:00",114,113
30.045594,31.211866,"2011-05-03 13:09:00",22,101
30.117335,31.313764,"2011-05-04 13:19:00",38,32
30.085187,31.352228,"2011-05-04 20:23:00",109,108
30.002515,31.137526,"2011-05-07 23:23:00",117,113
30.089146,31.31694,"2011-05-04 23:00:00",104,101
30.005813,31.185559,"2011-05-11 13:23:00",39,32
30.004755,31.185147,"2011-05-11 13:11:00",114,113
31.19806,29.91917,"2011-05-12 01:02:00",104,101
29.85,31.21667,"2011-05-12 15:00:00",109,108
31.186205,29.909858,"2011-05-14 11:34:00",38,32
30.065457,31.204306,"2011-05-14 13:41:00",22,101
30.6341,31.0845,"2011-05-17 13:56:00",117,113
31.036593,31.38402,"2011-05-18 13:32:00",104,101
30.047619,31.238015,"2011-05-20 22:55:00",22,101
24.530447,33.02948,"2011-05-24 13:01:00",104,101
31.302091,30.794334,"2011-05-26 00:06:00",117,113
30.031498,31.31631,"2011-05-26 13:32:00",43,32
29.999022,31.292242,"2011-05-26 13:57:00",104,101
29.986952,31.430472,"2011-05-22 13:41:00",104,101
29.996643,31.301855,"2011-05-24 21:00:00",22,101
30.05821,31.200397,"2011-05-29 00:13:00",110,108
30.134214,31.238201,"2011-05-29 13:00:00",109,108
29.994238,31.213462,"2011-05-29 22:45:00",104,101
29.886642,31.262345,"2011-05-31 01:18:00",26,111
29.954367,31.255656,"2011-05-31 12:41:00",104,101
30.095338,31.31768,"2011-05-31 13:16:00",104,101
29.086694,31.090263,"2011-06-06 10:17:00",109,108
29.991753,31.144442,"2011-06-10 10:52:00",104,101
30.79111,30.99806,"2011-06-13 23:10:00",22,101
31.19806,29.91917,"2011-06-13 23:10:00",104,101
29.980707,31.24993,"2011-06-13 23:15:00",117,113
30.510535,31.172394,"2011-06-13 23:09:00",110,108
26.679116,31.493115,"2011-06-13 23:18:00",109,108
30.145348,31.362752,"2011-06-13 23:22:00",114,113
30.593074,31.506475,"2011-06-13 23:13:00",117,113
30.048309,31.191304,"2011-06-13 22:34:00",38,32
31.28056,32.3075,"2011-06-13 22:19:00",22,101
30.002069,31.165871,"2011-06-13 23:53:00",109,108
31.19806,29.91917,"2011-06-14 00:03:00",117,113
31.19806,29.91917,"2011-06-13 12:00:00",109,108
30.038169,31.206336,"2011-06-13 23:55:00",117,113
31.2135,29.9443,"2011-06-14 00:29:00",117,113
30.095679,31.265498,"2011-06-14 00:47:00",117,113
31.401134,30.41462,"2011-06-14 00:56:00",109,108
30.10766,31.307399,"2011-06-14 01:26:00",38,32
30.081868,31.199094,"2011-06-14 01:39:00",110,108
28.259709,31.126875,"2011-06-14 01:55:00",114,113
30.079863,31.25379,"2011-06-14 01:57:00",102,101
29.30778,30.84,"2011-06-14 01:29:00",117,113
29.84464,31.601122,"2011-06-14 01:32:00",109,108
31.19806,29.91917,"2011-06-14 01:35:00",114,113
31.19806,29.91917,"2011-06-14 01:43:00",114,113
31.19806,29.91917,"2011-06-14 01:48:00",114,113
31.19806,29.91917,"2011-06-14 01:02:00",114,113
30.811753,31.006643,"2011-06-14 01:12:00",114,113
31.243179,29.967603,"2011-06-14 11:21:00",39,32
29.997833,31.095861,"2011-06-14 11:13:00",31,118
31.243502,29.968122,"2011-06-14 11:27:00",39,32
31.243839,29.967925,"2011-06-14 11:32:00",39,32
31.243096,29.967485,"2011-06-14 11:51:00",38,32
31.243362,29.96756,"2011-06-14 11:54:00",39,32
30.010335,31.301899,"2011-06-13 10:14:00",104,101
29.995097,31.208218,"2011-06-14 12:11:00",43,32
31.19806,29.91917,"2011-06-14 13:15:00",31,118
30.070355,31.332067,"2011-06-14 13:04:00",31,118
30.163605,31.348204,"2011-06-14 13:07:00",104,101
30.798041,31.006257,"2011-06-14 13:53:00",110,108
30.764962,30.956475,"2011-06-14 13:17:00",26,111
30.071544,31.248983,"2011-06-14 13:26:00",37,32
31.178219,29.931311,"2011-06-14 13:40:00",117,113
30.069167,31.24967,"2011-06-14 13:46:00",114,113
30.795302,30.987801,"2011-06-14 13:28:00",43,32
30.826976,31.013733,"2011-06-14 13:27:00",109,108
30.000185,31.193369,"2011-06-14 13:56:00",22,101
30.7206,31.2588,"2011-06-14 13:35:00",22,101
29.997345,31.093157,"2011-06-14 13:35:00",109,108
